,Month,Climate,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday
55,11,Hot dry summer cool winter,18.3,29.8,4.0,6.4,6.9,NNW,20.0,WNW,WNW,6.0,7.0,83.0,44.0,1013.2,1010.7,7.0,7.0,21.0,28.4,yes
56,11,Hot dry summer cool winter,20.4,27.7,0.0,8.2,,SW,33.0,ENE,SW,7.0,19.0,51.0,43.0,1012.7,1013.5,7.0,8.0,22.8,25.2,no
57,10,Mild temperate,10.4,22.4,0.2,6.2,9.0,SW,39.0,W,S,15.0,17.0,74.0,41.0,1015.8,1013.6,8.0,7.0,12.3,21.0,no
58,8,Cool temperate,4.8,11.0,0.0,,,W,44.0,WNW,W,17.0,26.0,55.0,42.0,1015.7,1017.3,,,7.9,9.7,no
59,10,Cool temperate,9.5,16.0,3.8,,,WNW,50.0,N,W,15.0,24.0,92.0,49.0,1006.1,1006.2,,,10.1,15.7,yes
60,8,Mild temperate,11.3,22.5,0.0,3.8,7.4,N,44.0,ENE,NNE,11.0,28.0,73.0,39.0,1019.4,1015.5,7.0,,13.9,21.4,no
61,8,Warm temperate,10.3,20.0,0.0,3.4,6.6,W,69.0,W,W,20.0,37.0,48.0,16.0,1014.5,1010.3,7.0,2.0,13.9,18.6,no
62,12,Mild temperate,4.8,19.6,1.6,5.6,6.6,SSW,30.0,NNW,SSW,2.0,19.0,75.0,46.0,1020.0,1018.9,,,11.4,16.9,yes
63,2,Warm humid summer mild winter,21.7,29.8,0.0,6.8,11.2,NNE,41.0,ESE,NNE,6.0,24.0,72.0,57.0,1011.7,1009.6,2.0,5.0,26.7,29.6,no
64,1,Mild temperate,13.3,22.4,0.0,,,W,50.0,W,WSW,22.0,31.0,67.0,38.0,1014.7,1014.3,8.0,1.0,16.5,21.5,no
65,3,High humidity summer warm winter,24.2,36.0,26.0,9.8,,,,SE,SSW,2.0,11.0,77.0,,1010.2,1006.1,2.0,,28.3,,yes
66,1,Cool temperate,14.4,40.0,0.0,,,SE,65.0,N,NE,2.0,22.0,38.0,10.0,1012.2,1007.2,,,25.3,37.3,no
67,4,Mild temperate,13.4,17.7,2.4,,,WSW,31.0,W,WSW,13.0,13.0,94.0,77.0,1024.6,1023.6,8.0,8.0,14.8,16.2,yes
68,8,High humidity summer warm winter,16.5,30.5,0.0,9.8,10.7,E,59.0,E,ESE,30.0,26.0,29.0,15.0,1017.9,1012.7,6.0,5.0,22.9,29.9,no
69,4,Hot dry summer warm winter,14.0,26.2,0.0,6.4,8.6,ESE,30.0,E,SW,24.0,13.0,59.0,36.0,1017.8,1014.3,2.0,4.0,19.9,25.7,no
70,1,Hot dry summer cool winter,16.7,27.7,0.0,,,W,31.0,WNW,WNW,6.0,20.0,61.0,22.0,1006.1,1005.8,1.0,1.0,22.3,26.4,no
71,9,Warm temperate,8.8,17.8,6.8,,,SW,52.0,WSW,W,20.0,19.0,71.0,72.0,1019.1,1019.6,,,15.0,15.8,yes
72,10,Cool temperate,3.3,16.4,0.8,,,WSW,33.0,ENE,WNW,6.0,6.0,46.0,36.0,1017.4,1017.3,,,9.8,14.4,no
73,12,Mild temperate,14.9,34.9,0.0,8.6,12.5,WSW,33.0,NNW,W,20.0,19.0,37.0,23.0,1012.5,1011.8,,,27.7,33.8,no
74,7,Cool temperate,8.2,17.3,0.8,,,NW,39.0,WNW,WNW,11.0,15.0,89.0,51.0,1002.6,1003.2,,,9.2,16.6,no
75,10,High humidity summer warm winter,25.6,36.1,0.0,7.0,10.4,N,50.0,E,NNE,13.0,33.0,61.0,40.0,1013.6,1008.9,2.0,2.0,30.3,34.4,no
76,1,Hot dry summer cool winter,17.8,41.6,0.0,32.8,,NW,76.0,ENE,WNW,9.0,41.0,36.0,16.0,1010.2,1005.6,,,27.6,40.5,no
77,9,Mild temperate,8.9,13.0,1.8,2.4,0.8,W,50.0,WSW,W,26.0,20.0,99.0,81.0,1020.1,1020.9,,,10.3,11.4,yes
78,6,Warm temperate,6.2,15.5,1.6,,,,,,SE,0.0,9.0,92.0,41.0,,,8.0,6.0,9.2,15.4,yes
79,12,Cool temperate,5.8,20.9,4.4,3.9,,SW,43.0,SW,S,20.0,17.0,69.0,41.0,1017.2,1016.9,,,11.3,19.6,yes
80,3,Warm temperate,18.9,27.9,0.0,4.0,8.7,NNE,46.0,NNW,NE,7.0,30.0,63.0,54.0,1023.7,1019.4,5.0,3.0,23.3,26.6,no
81,7,Warm temperate,7.7,16.3,4.0,,,SSW,39.0,SW,SW,22.0,20.0,68.0,56.0,1019.8,1019.3,,,12.0,15.8,yes
82,9,Cool temperate,13.4,14.4,10.8,,,SSW,43.0,NNW,SW,13.0,20.0,94.0,58.0,1008.6,1006.3,,,13.8,13.7,yes
83,10,Warm temperate,10.2,23.6,0.2,10.0,,E,33.0,NNE,WSW,11.0,17.0,46.0,28.0,1016.7,1012.9,,,15.1,22.6,no
84,9,Hot dry summer cool winter,-0.1,18.3,0.0,4.6,11.0,ENE,20.0,E,E,6.0,9.0,59.0,39.0,1032.0,1028.2,0.0,1.0,10.7,17.8,no
85,12,Warm humid summer mild winter,21.0,29.2,0.0,6.2,2.7,NNE,59.0,NNW,SSE,19.0,9.0,73.0,74.0,1011.2,1009.6,7.0,7.0,24.3,25.7,no
86,11,Warm temperate,13.7,23.1,0.0,16.0,12.2,W,31.0,WNW,WNW,13.0,17.0,61.0,38.0,1016.0,1016.3,,,17.2,22.5,no
87,12,Mild temperate,19.0,24.6,0.2,,,SE,48.0,S,SSE,11.0,20.0,77.0,75.0,1013.3,1014.1,,,23.0,22.7,no
88,12,Warm temperate,16.0,25.6,0.2,,,SE,35.0,S,E,9.0,13.0,70.0,50.0,,,,,21.1,24.0,no
89,11,Cool temperate,8.2,32.1,0.0,,,NW,98.0,N,NNW,30.0,61.0,33.0,13.0,1006.3,998.6,8.0,8.0,18.2,29.2,no
90,3,Warm humid summer mild winter,21.2,29.8,20.8,9.0,10.3,E,30.0,SSW,ENE,2.0,15.0,74.0,64.0,1019.9,1017.8,7.0,3.0,26.4,28.9,yes
91,2,Cool temperate,10.2,26.3,0.0,,,SE,46.0,SSE,SSE,30.0,19.0,44.0,22.0,1015.2,1011.9,1.0,2.0,16.0,25.3,no
92,7,Warm temperate,3.7,15.7,0.0,0.0,7.8,SSW,30.0,SSE,S,7.0,17.0,78.0,58.0,1027.7,1025.7,0.0,3.0,9.2,15.1,no
93,12,Cool temperate,13.5,23.1,0.0,,,NNE,39.0,NW,NW,11.0,9.0,76.0,89.0,1005.0,1001.0,,,20.8,18.3,no
94,11,Mild temperate,15.1,28.8,0.0,,,NE,48.0,NNW,WNW,7.0,24.0,54.0,42.0,1012.6,1009.8,,,20.1,26.6,no
95,6,Hot dry summer warm winter,6.2,21.9,0.0,,,SSW,35.0,SW,SSW,9.0,26.0,86.0,45.0,1022.9,1021.3,,,11.4,21.2,no
96,3,Cool temperate,8.6,18.7,0.0,4.0,9.1,ESE,33.0,SW,E,6.0,7.0,62.0,49.0,1018.7,1019.6,,,13.1,17.8,no
97,12,Warm temperate,15.8,28.9,0.0,,13.2,ESE,59.0,ESE,SSE,26.0,19.0,40.0,23.0,1019.8,1016.5,,,21.8,27.1,no
98,2,Hot dry summer cool winter,20.9,35.2,0.0,9.4,,NNW,37.0,NE,E,19.0,9.0,37.0,21.0,1013.1,1009.1,2.0,6.0,25.3,32.8,no
99,6,Cool temperate,10.2,15.5,0.0,1.8,7.0,NW,57.0,NW,NW,22.0,30.0,61.0,55.0,1018.5,1018.6,4.0,6.0,11.2,14.2,no
100,1,Cool temperate,20.9,23.6,0.4,,,E,46.0,E,ESE,35.0,33.0,83.0,68.0,1016.7,1018.9,,,22.0,22.5,no
101,5,Mild temperate,8.3,15.4,14.2,0.6,,SSW,41.0,SSW,SW,13.0,17.0,91.0,96.0,1014.3,1013.5,,,12.8,14.4,yes
102,3,Cool temperate,5.1,20.1,0.0,,,NNW,22.0,E,WNW,4.0,7.0,76.0,39.0,,,,2.0,10.4,19.2,no
103,1,High humidity summer warm winter,23.2,31.0,69.0,,,NNW,28.0,NNE,NE,9.0,9.0,96.0,,1000.2,998.0,8.0,,25.5,,yes
104,10,Warm temperate,16.5,28.8,0.0,6.6,9.8,NNE,33.0,NW,ENE,11.0,24.0,68.0,30.0,1016.4,1011.2,7.0,4.0,19.4,27.0,no
105,7,Hot dry summer cool winter,-0.3,14.4,0.2,,,N,17.0,NNE,SW,4.0,6.0,88.0,52.0,1022.4,1020.6,,,4.5,14.2,no
106,3,High humidity summer warm winter,20.5,31.3,0.0,8.8,11.3,SSE,35.0,SSE,ESE,17.0,20.0,65.0,47.0,1013.4,1009.7,1.0,2.0,26.5,30.5,no
107,10,Warm temperate,7.8,24.4,0.0,,,WSW,22.0,N,WSW,9.0,15.0,35.0,23.0,1028.4,1028.6,,,19.1,23.8,no
108,8,Mild temperate,7.0,13.8,0.2,,,SSW,61.0,NW,SSW,24.0,17.0,73.0,95.0,1013.9,1012.8,,,12.2,9.9,no
109,5,Warm temperate,9.4,16.5,12.4,0.8,,SSE,39.0,S,S,9.0,15.0,53.0,47.0,1029.6,1028.5,,,13.5,14.6,yes
110,12,Warm humid summer mild winter,17.3,27.1,0.0,6.6,10.9,ENE,35.0,SE,ESE,11.0,19.0,52.0,50.0,1019.8,1017.6,5.0,4.0,24.2,24.9,no
111,6,Cool temperate,3.3,14.5,0.2,,,SE,28.0,SSE,SSE,9.0,15.0,98.0,59.0,1025.4,1022.0,,7.0,7.6,13.3,no
112,12,Cool temperate,3.8,26.1,0.0,,,ENE,50.0,WSW,N,7.0,20.0,39.0,15.0,1013.2,1010.9,,,15.7,23.7,no
113,12,Warm temperate,15.2,20.3,0.2,8.0,10.5,S,56.0,SSW,S,30.0,33.0,67.0,60.0,1016.2,1016.4,6.0,4.0,18.2,19.7,no
114,11,Hot dry summer warm winter,10.9,27.1,0.0,6.6,10.7,ENE,28.0,ENE,SE,13.0,20.0,67.0,28.0,1017.5,1013.0,1.0,6.0,19.2,26.1,no
115,10,Mild temperate,5.1,18.0,0.0,4.0,12.6,SW,37.0,SSE,SSW,11.0,20.0,78.0,56.0,1021.7,1020.3,7.0,4.0,13.6,16.7,no
116,4,High humidity summer warm winter,21.6,29.2,0.2,6.8,2.7,S,41.0,S,NNE,9.0,13.0,85.0,73.0,1012.6,1009.1,8.0,6.0,24.1,27.3,no
117,5,Mild temperate,9.9,21.7,0.2,,,SW,15.0,NNW,SSW,7.0,7.0,99.0,53.0,1021.4,1019.0,8.0,7.0,13.3,20.5,no
118,5,Hot dry summer cool winter,12.4,25.4,2.8,3.6,,NE,26.0,E,NE,13.0,11.0,62.0,30.0,1028.8,1026.0,1.0,2.0,16.4,23.8,yes
119,7,Warm temperate,15.0,18.9,3.6,2.4,8.2,SSE,43.0,SSE,S,22.0,20.0,77.0,64.0,1015.8,1014.2,3.0,2.0,17.9,17.9,yes
120,7,Hot dry summer cool winter,1.5,15.8,0.0,1.0,3.4,NNW,35.0,ESE,N,7.0,19.0,87.0,55.0,1018.2,1012.7,7.0,6.0,6.9,14.5,no
121,7,Cool temperate,4.7,9.9,4.2,,,,,NW,W,20.0,22.0,94.0,64.0,1018.3,1017.8,6.0,8.0,6.2,8.5,yes
122,10,Mild temperate,11.2,17.8,1.0,5.4,9.3,SE,56.0,S,SSE,31.0,35.0,91.0,49.0,1023.4,1025.0,7.0,7.0,12.0,15.7,yes
123,6,Cool temperate,6.6,18.5,0.0,,,WNW,19.0,NW,NNE,13.0,11.0,64.0,46.0,1021.3,1017.4,,,12.4,17.1,no
124,12,Warm temperate,14.1,19.0,0.0,,,SSE,56.0,S,SSE,26.0,30.0,58.0,73.0,1019.7,1020.0,3.0,8.0,17.1,17.1,no
125,11,Warm temperate,13.9,24.8,17.2,2.0,,ESE,37.0,NW,NW,13.0,13.0,82.0,66.0,1013.1,1011.7,6.0,5.0,19.1,22.1,yes
126,8,Cool temperate,7.1,12.7,0.0,,,SSE,13.0,,,0.0,0.0,79.0,59.0,1025.9,1023.3,8.0,8.0,9.1,12.1,no
127,2,Cool temperate,13.9,23.1,0.0,,,SSW,43.0,SSW,SSE,19.0,19.0,48.0,28.0,1014.9,1014.2,1.0,,15.8,21.3,no
128,9,Hot dry summer cool winter,7.7,14.7,1.6,2.4,7.4,W,54.0,W,W,28.0,33.0,62.0,25.0,1010.7,1012.5,7.0,3.0,9.8,13.8,yes
129,5,Warm temperate,18.3,23.1,0.2,1.6,,WNW,39.0,NW,WNW,15.0,19.0,85.0,84.0,1014.4,1012.4,4.0,,21.7,22.6,no
130,9,Warm temperate,14.2,21.5,1.4,,,,,N,SE,2.0,6.0,90.0,71.0,,,7.0,8.0,17.0,19.8,yes
131,3,Warm temperate,23.0,,1.2,,,,,NE,,9.0,,88.0,,,,6.0,,25.0,,yes
132,12,Hot dry summer cool winter,5.1,23.8,0.0,,,SSW,50.0,SW,SSW,20.0,28.0,79.0,31.0,,,,,16.2,21.5,no
133,4,Warm temperate,4.6,17.8,0.0,,,ESE,22.0,WSW,SE,11.0,11.0,71.0,58.0,1022.6,1020.0,,,11.2,15.8,no
134,7,High humidity summer warm winter,11.2,29.6,0.0,4.4,,ESE,33.0,SE,ESE,9.0,17.0,66.0,,1016.7,1012.7,0.0,0.0,17.3,29.0,no
135,10,Warm temperate,15.6,21.0,0.0,3.0,8.4,E,35.0,E,E,17.0,26.0,58.0,66.0,1021.3,1018.8,7.0,2.0,18.7,19.6,no
136,3,Hot dry summer warm winter,21.5,34.0,0.0,,,ESE,31.0,E,E,26.0,15.0,53.0,32.0,1012.3,1008.2,,5.0,24.1,32.4,no
137,6,Hot dry summer warm winter,2.4,18.2,0.0,3.2,2.9,ESE,30.0,SSE,S,7.0,13.0,70.0,36.0,1020.8,1019.3,7.0,5.0,8.2,17.7,no
138,4,Mild temperate,6.9,24.5,0.2,3.8,6.6,S,37.0,NNW,S,9.0,26.0,96.0,57.0,1019.4,1018.0,6.0,6.0,11.6,21.7,no
139,1,Warm temperate,15.9,35.6,0.0,,12.7,,,S,SSW,13.0,28.0,58.0,29.0,1012.1,1010.2,,,24.0,34.8,no
140,11,Mild temperate,18.7,31.6,3.2,,,E,31.0,N,NNE,4.0,9.0,88.0,57.0,1016.8,1012.7,,,21.2,29.7,yes
141,11,Hot dry summer cool winter,14.8,26.5,0.0,5.4,8.8,NW,33.0,N,W,6.0,13.0,65.0,51.0,1014.8,1014.6,6.0,6.0,20.8,26.2,no
142,3,Warm temperate,15.0,27.5,0.0,,10.0,SSE,39.0,SSE,SSW,28.0,17.0,66.0,37.0,1018.4,1015.9,5.0,,18.9,25.4,no
143,2,Warm temperate,18.4,36.3,0.0,,12.5,ESE,63.0,SE,ESE,15.0,17.0,35.0,16.0,1017.6,1013.0,1.0,0.0,24.0,35.1,no
144,4,Cool temperate,16.2,26.4,0.0,,,NNE,28.0,W,NNE,6.0,19.0,72.0,67.0,1013.9,1011.3,,,22.7,24.0,no
145,11,Warm temperate,18.4,24.5,10.2,3.2,0.0,E,26.0,SE,ESE,9.0,13.0,84.0,74.0,1018.4,1016.5,7.0,7.0,20.5,21.9,yes
146,9,Mild temperate,12.5,24.4,0.0,,,NW,37.0,ENE,S,15.0,11.0,68.0,87.0,1011.6,1009.9,3.0,8.0,20.2,17.0,no
147,3,Warm temperate,17.5,22.3,2.6,5.8,1.0,E,52.0,ESE,ESE,28.0,28.0,82.0,72.0,1020.4,1017.2,7.0,7.0,17.5,21.7,yes
148,4,Hot dry summer cool winter,8.9,17.7,9.0,3.2,5.0,SW,43.0,SE,SW,17.0,15.0,93.0,64.0,1007.6,1011.0,7.0,5.0,10.0,16.4,yes
149,1,Mild temperate,7.9,21.0,0.0,5.6,10.0,SSW,44.0,S,S,26.0,19.0,49.0,39.0,1018.5,1017.8,7.0,3.0,16.9,19.8,no
150,4,High humidity summer warm winter,18.4,34.0,0.0,4.0,,ESE,33.0,SE,ESE,19.0,19.0,33.0,,1011.9,1008.6,1.0,,26.2,,no
151,6,Mild temperate,5.4,18.3,0.0,1.0,6.1,WNW,35.0,N,W,15.0,17.0,88.0,56.0,1027.5,1024.2,,,7.4,17.1,no
152,11,Mild temperate,17.8,31.5,0.4,15.6,,S,59.0,NNE,N,9.0,13.0,66.0,44.0,1013.6,1010.5,,,24.2,29.9,no
153,6,Hot dry summer cool winter,2.6,12.9,0.0,0.6,4.2,WNW,17.0,S,W,7.0,7.0,99.0,62.0,1034.6,1032.0,7.0,4.0,4.4,11.9,no
154,6,Warm temperate,6.8,20.0,0.0,,,,,,,0.0,,72.0,,,,7.0,,10.4,,no
155,4,Mild temperate,14.3,18.0,9.6,1.8,1.7,,,NNE,ESE,4.0,6.0,76.0,74.0,1021.0,1017.8,8.0,5.0,16.8,16.3,yes
156,11,Warm temperate,12.1,23.1,22.6,,,E,31.0,SSW,ESE,19.0,15.0,69.0,56.0,1015.5,1013.0,,,17.1,22.2,yes
157,1,Warm humid summer mild winter,21.3,27.4,0.0,4.4,7.4,SW,28.0,SW,SE,15.0,17.0,76.0,80.0,1016.0,1014.6,6.0,5.0,24.9,26.1,no
158,12,Warm temperate,10.2,31.0,0.0,6.6,13.6,WNW,41.0,,W,0.0,22.0,32.0,15.0,1014.4,1013.3,1.0,2.0,23.0,30.7,no
159,1,Warm temperate,14.5,34.2,0.0,9.8,13.1,SSW,39.0,ENE,SSW,11.0,24.0,35.0,20.0,1014.5,1013.3,0.0,0.0,25.8,32.3,no
160,2,Hot dry summer cool winter,17.1,27.7,0.4,,,SSW,37.0,SSW,SSW,6.0,24.0,73.0,63.0,,,,,23.9,26.5,no
161,10,Warm temperate,13.5,26.4,0.0,8.4,0.6,NE,39.0,ESE,SW,9.0,24.0,44.0,45.0,1011.4,1010.2,8.0,7.0,22.2,23.6,no
162,6,Warm temperate,1.4,14.9,0.2,1.0,8.1,WNW,26.0,,WSW,0.0,15.0,86.0,67.0,1025.7,1023.1,0.0,4.0,7.7,14.7,no
163,12,High humidity summer warm winter,23.9,33.1,0.0,13.4,12.7,NE,44.0,E,ENE,28.0,35.0,58.0,50.0,1014.6,1011.4,4.0,1.0,29.3,30.4,no
